,TFcoil,TFcoil
,in,in
,r,z
,,
0,5.747,-5.311
1,5.638,-5.011
2,5.5280000000000005,-4.71
3,5.4190000000000005,-4.41
4,5.3100000000000005,-4.11
5,5.2,-3.809
6,5.141,-3.5
7,5.091,-3.509
8,5.141,-3.202
9,5.141,-2.904
10,5.141,-2.607
11,5.141,-2.309
12,5.141,-2.011
13,5.141,-1.713
14,5.141,-1.416
15,5.141,-1.118
16,5.141,-0.8200000000000001
17,5.141,-0.522
18,5.141,-0.224
19,5.141,0.073
20,5.141,0.371
21,5.141,0.669
22,5.141,0.967
23,5.141,1.264
24,5.141,1.562
25,5.141,1.86
26,5.141,2.158
27,5.141,2.455
28,5.141,2.753
29,5.141,3.051
30,5.154,3.348
31,5.1930000000000005,3.642
32,5.257,3.932
33,5.346,4.216
34,5.46,4.49
35,5.597,4.753
36,5.757000000000001,5.0040000000000004
37,5.938,5.24
38,6.138,5.4590000000000005
39,6.357,5.659
40,6.593,5.84
41,6.843,6.0
42,7.107,6.1370000000000005
43,7.381,6.251
44,7.665,6.34
45,7.955,6.404
46,8.249,6.4430000000000005
47,8.546,6.456
48,8.843,6.446
49,9.139,6.416
50,9.432,6.367
51,9.721,6.298
52,10.005,6.21
53,10.282,6.103
54,10.552,5.977
55,10.812,5.835
56,11.063,5.674
57,11.302,5.498
58,11.529,5.306
59,11.742,5.099
60,11.942,4.878
61,12.126,4.6450000000000005
62,12.301,4.396
63,12.465,4.14
64,12.618,3.8770000000000002
65,12.761000000000001,3.608
66,12.891,3.333
67,13.01,3.053
68,13.117,2.7680000000000002
69,13.212,2.479
70,13.295,2.186
71,13.365,1.8900000000000001
72,13.422,1.591
73,13.467,1.291
74,13.499,0.988
75,13.519,0.684
76,13.519,0.684
77,13.525,0.38
78,13.519,0.078
79,13.503,-0.224
80,13.475,-0.525
81,13.437000000000001,-0.8240000000000001
82,13.388,-1.122
83,13.327,-1.419
84,13.256,-1.712
85,13.175,-2.003
86,13.082,-2.291
87,12.98,-2.575
88,12.867,-2.855
89,12.744,-3.1310000000000002
90,12.611,-3.402
91,12.468,-3.669
92,12.315,-3.93
93,12.153,-4.1850000000000005
94,11.982000000000001,-4.434
95,11.802,-4.676
96,11.613,-4.912
97,11.416,-5.141
98,11.21,-5.362
99,10.997,-5.5760000000000005
100,10.776,-5.782
101,10.547,-5.98
102,10.312,-6.1690000000000005
103,10.069,-6.349
104,9.82,-6.521
105,9.566,-6.683
106,9.305,-6.836
